ra,dec,dist,ext,exterr
266.4049882865447,-28.936177761791473,1500.0,2.28887,0.05336
276.67453101478606,-22.655813778220043,100.0,0.06515,0.00199
139.61375882748231,-47.28946989214116,341.0,0.12395,0.00088
